emoji,precision,recall,f1,support
backhand_index_pointing_right,0.5382187147688838,0.5958562156764853,0.565572799431347,4006
check_mark_button,0.5244055068836045,0.576052993375828,0.5490172721858249,8001
clown_face,0.2771395749569213,0.24125,0.2579524191392676,4000
cooking,0.3091973721793773,0.54125,0.39356480639883656,4000
egg,0.4530317310713164,0.3604098975256186,0.40144766146993316,4001
enraged_face,0.29435178165276726,0.38825,0.33484260457093573,4000
eyes,0.271311120726958,0.15675,0.19870068135002378,4000
face_holding_back_tears,0.21407288562915425,0.2335,0.22336482123639842,4000
face_savoring_food,0.36400106980476066,0.34025,0.3517250290735237,4000
face_with_steam_from_nose,0.1930745015739769,0.092,0.12461903149339655,4000
face_with_tears_of_joy,0.2237143534244411,0.3539557555305587,0.27415295256534367,8001
fearful_face,0.22004652966265995,0.28375,0.24787071412972264,4000
fire,0.2515212981744422,0.217,0.23298886055563012,4000
folded_hands,0.28552005438477224,0.315,0.2995364317128254,4000
ghost,0.1486090775988287,0.15225,0.15040750802667324,4000
grinning_face_with_sweat,0.1590145576707727,0.0709822544363909,0.09815102816658026,4001
hatching_chick,0.3915094339622642,0.083,0.13696369636963696,4000
hot_face,0.3242894056847545,0.31375,0.3189326556543837,4000
loudly_crying_face,0.249372804816859,0.2485,0.24893563736538943,4000
melting_face,0.1365902293120638,0.03425,0.054767139716170296,4000
middle_finger,0.281434184675835,0.2865,0.2839444995044599,4000
party_popper,0.44627653842008835,0.5175603049618798,0.4792824074074074,8001
pile_of_poo,0.474120082815735,0.40075,0.4343584880097548,4000
rabbit,0.3718832137529303,0.6542932133483315,0.47422773801974816,8001
red_heart,0.1701216378276512,0.24821897262842144,0.20188055908513342,8001
saluting_face,0.2200467562828755,0.18825,0.2029102667744543,4000
skull,0.26959045469203485,0.209,0.2354597943951556,4000
smiling_face,0.17676950998185118,0.12175,0.14418948926720948,4000
smiling_face_with_halo,0.11162790697674418,0.006,0.011387900355871887,4000
smiling_face_with_heart-eyes,0.2332201905179021,0.26621672290963627,0.24862845803665226,8001
smiling_face_with_sunglasses,0.14506172839506173,0.01175,0.021739130434782608,4000
smiling_face_with_tear,0.18714596949891069,0.21475,0.2,4000
sparkles,0.1058351051263879,0.112,0.10883031701688327,4000
sun,0.4474337748344371,0.5405,0.4895833333333333,4000
thinking_face,0.29013883944464225,0.4075,0.3389478061967145,4000
thumbs_up,0.23534433693796245,0.20669832541864533,0.2200931470392548,4001
winking_face,0.15414825724104075,0.0785,0.10402517806857711,4000
